location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Botswana,3,0.14285714285714285,7.0,4.0,1.0,1.0
Botswana,4,0.06864988558352403,437.0,19.0,30.0,0.0
Botswana,5,0.036773428232502965,843.0,12.0,31.0,0.0
Botswana,6,0.013568521031207599,2211.0,192.0,30.0,0.0
Botswana,7,0.0024065779798114846,14959.0,577.0,36.0,1.0
Botswana,8,0.0023460252399956855,37084.0,829.0,87.0,4.0
Botswana,9,0.0047181422827603185,73122.0,1539.0,345.0,10.0
Botswana,10,0.004219730352312896,144559.0,3470.0,610.0,8.0
Botswana,11,0.003277962009260816,261748.0,4100.0,858.0,10.0
Botswana,12,0.002912412088765909,398982.0,4063.0,1162.0,8.0
Brazil,2,0.0,5.0,2.0,0.0,0.0
Brazil,3,0.026288146093139765,37127.0,5715.0,976.0,201.0
Brazil,4,0.06349129141845636,1048506.0,81470.0,66571.0,5805.0
Brazil,5,0.06407499227432047,7944285.0,427662.0,509030.0,23308.0
Brazil,6,0.048058709952288295,28161222.0,887192.0,1353392.0,30280.0
Brazil,7,0.037841721347217236,62641865.0,1260444.0,2370476.0,32881.0
Brazil,8,0.03250999359635519,102903896.0,1245787.0,3345405.0,28906.0
Brazil,9,0.030322225899171468,132059962.0,902663.0,4004352.0,22571.0
Brazil,10,0.02939774990286912,160991539.0,724670.0,4732789.0,15932.0
Brazil,11,0.02819719362453267,176837421.0,800273.0,4986319.0,13236.0
Brazil,12,0.02612854465891063,218249737.0,1340095.0,5702548.0,21829.0
Brunei,3,0.002369668246445498,1688.0,129.0,4.0,1.0
Brunei,4,0.007336757153338224,4089.0,9.0,30.0,0.0
Brunei,5,0.008268259072117593,4354.0,3.0,36.0,1.0
Brunei,6,0.01773049645390071,4230.0,0.0,75.0,1.0
Brunei,7,0.02127659574468085,4371.0,0.0,93.0,0.0
Brunei,8,0.021059782608695652,4416.0,3.0,93.0,0.0
Brunei,9,0.02066590126291619,4355.0,2.0,90.0,0.0
Brunei,10,0.020421607378129116,4554.0,2.0,93.0,0.0
Brunei,11,0.020202020202020204,4455.0,2.0,90.0,0.0
Brunei,12,0.019724284199363732,4715.0,7.0,93.0,0.0
Bulgaria,3,0.019854586129753916,3576.0,399.0,71.0,8.0
Bulgaria,4,0.043078712679333074,25790.0,1107.0,1111.0,58.0
Bulgaria,5,0.04990277693382755,65828.0,1007.0,3285.0,74.0
Bulgaria,6,0.052018802432588364,105731.0,2476.0,5500.0,90.0
Bulgaria,7,0.03595846751891674,254933.0,6701.0,9167.0,153.0
Bulgaria,8,0.03524377961484646,443823.0,4576.0,15642.0,246.0
Bulgaria,9,0.03988489448359167,552189.0,4567.0,22024.0,196.0
Bulgaria,10,0.031938457512484725,962977.0,32011.0,30756.0,454.0
Bulgaria,11,0.02381338697090486,3044632.0,92456.0,72503.0,2756.0
Bulgaria,12,0.03330685060512265,5636378.0,56966.0,187730.0,3541.0
Burkina Faso,3,0.04523934771173067,1901.0,261.0,86.0,14.0
Burkina Faso,4,0.06047275114904793,15230.0,384.0,921.0,29.0
Burkina Faso,5,0.064756590180319,24013.0,202.0,1555.0,10.0
Burkina Faso,6,0.0586283185840708,27120.0,115.0,1590.0,0.0
Burkina Faso,7,0.05084955587880288,32311.0,144.0,1643.0,0.0
Burkina Faso,8,0.04339661470391521,38874.0,262.0,1687.0,2.0
Burkina Faso,9,0.032819249789870795,51159.0,688.0,1679.0,3.0
Burkina Faso,10,0.027125024218771623,72258.0,444.0,1960.0,9.0
Burkina Faso,11,0.025421497963020998,79775.0,386.0,2028.0,1.0
Burkina Faso,12,0.015847816399286986,143616.0,3821.0,2276.0,17.0
Burundi,3,0.0,2.0,2.0,0.0,0.0
Burundi,4,0.09836065573770492,183.0,9.0,18.0,1.0
Burundi,5,0.03487064116985377,889.0,52.0,31.0,0.0
Burundi,6,0.009319664492078284,3219.0,107.0,30.0,0.0
Burundi,7,0.0036059090380365245,8597.0,217.0,31.0,0.0
Burundi,8,0.002401797474238785,12907.0,58.0,31.0,0.0
Burundi,9,0.0021169995060334487,14171.0,63.0,30.0,0.0
Burundi,10,0.0018618618618618619,16650.0,77.0,31.0,0.0
Burundi,11,0.0015710096355257646,19096.0,103.0,30.0,0.0
Burundi,12,0.0019048443655569505,23099.0,130.0,44.0,1.0
Cambodia,1,0.0,5.0,1.0,0.0,0.0
Cambodia,2,0.0,29.0,0.0,0.0,0.0
Cambodia,3,0.0,1225.0,108.0,0.0,0.0
Cambodia,4,0.0,3583.0,13.0,0.0,0.0
Cambodia,5,0.0,3804.0,3.0,0.0,0.0
Cambodia,6,0.0,3885.0,16.0,0.0,0.0
Cambodia,7,0.0,5473.0,98.0,0.0,0.0
Cambodia,8,0.0,8173.0,35.0,0.0,0.0
Cambodia,9,0.0,8247.0,3.0,0.0,0.0
Cambodia,10,0.0,8809.0,14.0,0.0,0.0
Cambodia,11,0.0,9085.0,35.0,0.0,0.0
Cambodia,12,0.0,11076.0,52.0,0.0,0.0
Cameroon,3,0.022492970946579195,1067.0,193.0,24.0,6.0
Cameroon,4,0.027051841164704726,30497.0,1639.0,825.0,55.0
Cameroon,5,0.037642460549386324,109504.0,4072.0,4122.0,130.0
Cameroon,6,0.026151964023681473,295083.0,6688.0,7717.0,122.0
Cameroon,7,0.023512908021188834,477610.0,4663.0,11230.0,78.0
Cameroon,8,0.021842255250120568,570225.0,1887.0,12455.0,20.0
Cameroon,9,0.020573505427836897,606411.0,1696.0,12476.0,7.0
Cameroon,10,0.019805611866763072,662489.0,955.0,13121.0,8.0
Cameroon,11,0.018833398530881906,690210.0,2652.0,12999.0,11.0
Cameroon,12,0.017490127971908295,788845.0,1832.0,13797.0,11.0
Canada,1,0.0,12.0,4.0,0.0,0.0
Canada,2,0.0,234.0,16.0,0.0,0.0
Canada,3,0.014937998654234355,52015.0,8507.0,777.0,152.0
Canada,4,0.05823604563130184,929888.0,45930.0,54153.0,4027.0
Canada,5,0.08382931316780041,2369720.0,38022.0,198652.0,3727.0
Canada,6,0.08423923223224251,3016433.0,13618.0,254102.0,874.0
Canada,7,0.079863359907057,3460185.0,12184.0,276342.0,245.0
Canada,8,0.07326317166015707,3854051.0,12637.0,282360.0,168.0
Canada,9,0.06480800020508566,4290890.0,30189.0,278084.0,198.0
Canada,10,0.049792726864348234,6126216.0,76206.0,305041.0,885.0
Canada,11,0.03667289515561687,9141329.0,144244.0,335239.0,1963.0
Canada,12,0.028765707982705502,15031370.0,202852.0,432388.0,3523.0
Cape Verde,3,0.16326530612244897,49.0,6.0,8.0,1.0
Cape Verde,4,0.02108222066057625,1423.0,115.0,30.0,0.0
Cape Verde,5,0.00889031705227078,9336.0,314.0,83.0,3.0
Cape Verde,6,0.00928370666893791,23482.0,792.0,218.0,11.0
Cape Verde,7,0.01044143492194769,58038.0,1224.0,606.0,8.0
Cape Verde,8,0.010557244174265451,98700.0,1433.0,1042.0,17.0
Cape Verde,9,0.009728922350281574,148629.0,2140.0,1446.0,20.0
Cape Verde,10,0.010829269131852158,232518.0,2769.0,2518.0,35.0
Cape Verde,11,0.010329970113487515,295451.0,1968.0,3052.0,10.0
Cape Verde,12,0.00966206810697027,353444.0,1079.0,3415.0,8.0
Cayman Islands,12,,0.0,0.0,0.0,0.0
Central African Republic,3,0.0,41.0,3.0,0.0,0.0
Central African Republic,4,0.0,444.0,47.0,0.0,0.0
Central African Republic,5,0.0008819119851838787,11339.0,961.0,10.0,2.0
Central African Republic,6,0.00789938528933795,70765.0,2734.0,559.0,45.0
Central African Republic,7,0.012469606727787816,134487.0,863.0,1677.0,12.0
Central African Republic,8,0.012970204519500294,144485.0,103.0,1874.0,3.0
Central African Republic,9,0.013002264910661858,143052.0,118.0,1860.0,0.0
Central African Republic,10,0.012770933833007748,150498.0,37.0,1922.0,0.0
Central African Republic,11,0.012785058442089202,146812.0,47.0,1877.0,1.0
Central African Republic,12,0.012762537085201208,153026.0,50.0,1953.0,0.0
Chad,3,0.0,35.0,7.0,0.0,0.0
Chad,4,0.011292346298619825,797.0,66.0,9.0,5.0
Chad,5,0.09572272436125542,14051.0,705.0,1345.0,60.0
Chad,6,0.08475242852086365,25427.0,88.0,2155.0,9.0
Chad,7,0.08372227649336084,27639.0,70.0,2314.0,1.0
Chad,8,0.0787338475408194,29949.0,77.0,2358.0,2.0
Chad,9,0.07290001508068164,33155.0,187.0,2417.0,8.0
Chad,10,0.06845907286035498,41806.0,283.0,2862.0,13.0
Chad,11,0.0627075804733357,47873.0,205.0,3002.0,3.0
Chad,12,0.05550016616816218,57171.0,425.0,3173.0,3.0
Chile,2,0.0,14.0,2.0,0.0,0.0
Chile,3,0.002660140455416046,18796.0,2842.0,50.0,12.0
Chile,4,0.011471096271017788,285413.0,14858.0,3274.0,215.0
Chile,5,0.008980128919554312,1763115.0,105848.0,15833.0,827.0
Chile,6,0.016120369494674786,6291295.0,155843.0,101418.0,4634.0
Chile,7,0.023955407100345136,9987599.0,76274.0,239257.0,3769.0
Chile,8,0.02712664802230621,11936049.0,56059.0,323785.0,1832.0
Chile,9,0.02750282114932513,13147124.0,51265.0,361583.0,1452.0
Chile,10,0.02770093846231304,15134758.0,47265.0,419247.0,1466.0
Chile,11,0.02788583542926294,15945192.0,41487.0,444645.0,1203.0
Chile,12,0.02764095226616607,17938094.0,57230.0,495826.0,1198.0
China,1,0.023389812671016627,38008.0,9254.0,889.0,196.0
China,2,0.028418090060923457,1633361.0,69554.0,46417.0,2624.0
China,3,0.03915360658592223,2515426.0,2923.0,98488.0,472.0
China,4,0.04731329367960153,2500143.0,1677.0,118290.0,1328.0
China,5,0.055181379666915005,2605281.0,190.0,143763.0,1.0
China,6,0.054947745055729524,2532679.0,639.0,139165.0,3.0
China,7,0.054252012190092215,2654943.0,2870.0,144036.0,20.0
China,8,0.05269202706804016,2764441.0,2259.0,145664.0,62.0
China,9,0.05246078322377764,2707451.0,631.0,142035.0,16.0
China,10,0.05211429536317608,2818977.0,821.0,146909.0,0.0
China,11,0.05156107388486179,2758806.0,1536.0,142247.0,4.0
China,12,0.05031311829394613,2931959.0,3061.0,147516.0,39.0
